,SIMULATION NAME,Date,PROJECTION,Value
0,UK lockdown,2020-01-31,S,66400000.0
1,UK lockdown,2020-01-31,E,0.0
2,UK lockdown,2020-01-31,I,1.0
3,UK lockdown,2020-01-31,R,0.0
4,UK lockdown,2020-01-31,All exposed,1.0
5,UK lockdown,2020-01-31,Daily exposed,0.0
6,UK lockdown,2020-01-31,Daily cases,0.0
7,UK lockdown,2020-01-31,Daily recoveries,0.0
8,UK lockdown,2020-01-31,Daily deaths,0.0
9,UK lockdown,2020-01-31,All cases,0.0
10,UK lockdown,2020-01-31,All recoveries,0.0
11,UK lockdown,2020-01-31,All deaths,0.0
12,UK lockdown,2020-01-31,Active cases,0.0
13,UK lockdown,2020-02-01,S,66399998.55695888
14,UK lockdown,2020-02-01,E,1.2896448622106007
15,UK lockdown,2020-02-01,I,0.7166645655272842
16,UK lockdown,2020-02-01,R,0.4367316907021537
17,UK lockdown,2020-02-01,All exposed,2.4430411184400387
18,UK lockdown,2020-02-01,Daily exposed,1.4430411184400387
19,UK lockdown,2020-02-01,Daily cases,2.5008791139761233e-06
20,UK lockdown,2020-02-01,Daily recoveries,1.865360205704331e-14
21,UK lockdown,2020-02-01,Daily deaths,2.9076253147932625e-11
22,UK lockdown,2020-02-01,All cases,2.5008791139761233e-06
23,UK lockdown,2020-02-01,All recoveries,1.865360205704331e-14
24,UK lockdown,2020-02-01,All deaths,2.9076253147932625e-11
25,UK lockdown,2020-02-01,Active cases,2.500850019069373e-06
26,UK lockdown,2020-02-02,S,66399997.32494255
27,UK lockdown,2020-02-02,E,2.1462626162936616
28,UK lockdown,2020-02-02,I,0.7191974054960748
29,UK lockdown,2020-02-02,R,0.8095974236641948
30,UK lockdown,2020-02-02,All exposed,3.6750574454539313
31,UK lockdown,2020-02-02,Daily exposed,1.2320163270138926
32,UK lockdown,2020-02-02,Daily cases,0.00015162650113307823
33,UK lockdown,2020-02-02,Daily recoveries,1.360145759521622e-10
34,UK lockdown,2020-02-02,Daily deaths,3.4515941966912666e-09
35,UK lockdown,2020-02-02,All cases,0.00015412738024705435
36,UK lockdown,2020-02-02,All recoveries,1.3603322955421922e-10
37,UK lockdown,2020-02-02,All deaths,3.4806704498391993e-09
38,UK lockdown,2020-02-02,Active cases,0.00015412376354337497
39,UK lockdown,2020-02-03,S,66399995.95801318
40,UK lockdown,2020-02-03,E,2.961033908531623
41,UK lockdown,2020-02-03,I,0.8576587514055687
42,UK lockdown,2020-02-03,R,1.2232941594149886
43,UK lockdown,2020-02-03,All exposed,5.04198681935218
44,UK lockdown,2020-02-03,Daily exposed,1.366929373898249
45,UK lockdown,2020-02-03,Daily cases,0.0008613690506678926
46,UK lockdown,2020-02-03,Daily recoveries,1.303238803950259e-08
47,UK lockdown,2020-02-03,Daily deaths,1.203960945395296e-07
48,UK lockdown,2020-02-03,All cases,0.001015496430914947
49,UK lockdown,2020-02-03,All recoveries,1.3168421269056809e-08
50,UK lockdown,2020-02-03,All deaths,1.2387676498936882e-07
51,UK lockdown,2020-02-03,Active cases,0.0010153593857286888
52,UK lockdown,2020-02-04,S,66399994.266435966
53,UK lockdown,2020-02-04,E,3.911461447872523
54,UK lockdown,2020-02-04,I,1.0868580623558781
55,UK lockdown,2020-02-04,R,1.7352445206868297
56,UK lockdown,2020-02-04,All exposed,6.733564030915231
57,UK lockdown,2020-02-04,Daily exposed,1.6915772115630503
58,UK lockdown,2020-02-04,Daily cases,0.0024521654365681216
59,UK lockdown,2020-02-04,Daily recoveries,3.7433965647664166e-07
60,UK lockdown,2020-02-04,Daily deaths,1.1126795442301728e-06
61,UK lockdown,2020-02-04,All cases,0.0034676618674830684
62,UK lockdown,2020-02-04,All recoveries,3.875080777456985e-07
63,UK lockdown,2020-02-04,All deaths,1.2365563092195416e-06
64,UK lockdown,2020-02-04,Active cases,0.003466037803096103
65,UK lockdown,2020-02-05,S,66399992.09763743
66,UK lockdown,2020-02-05,E,5.10847852268613
67,UK lockdown,2020-02-05,I,1.4022596567301162
68,UK lockdown,2020-02-05,R,2.3916243887690234
69,UK lockdown,2020-02-05,All exposed,8.90236256818527
70,UK lockdown,2020-02-05,Daily exposed,2.168798537270039
71,UK lockdown,2020-02-05,Daily cases,0.0050697117765483865
72,UK lockdown,2020-02-05,Daily recoveries,3.96401111964206e-06
73,UK lockdown,2020-02-05,Daily deaths,5.574102251905828e-06
74,UK lockdown,2020-02-05,All cases,0.008537373644031454
75,UK lockdown,2020-02-05,All recoveries,4.351519197387759e-06
76,UK lockdown,2020-02-05,All deaths,6.81065856112537e-06
77,UK lockdown,2020-02-05,Active cases,0.008526211466272941
78,UK lockdown,2020-02-06,S,66399989.29103543
79,UK lockdown,2020-02-06,E,6.648283326879293
80,UK lockdown,2020-02-06,I,1.8196478024404132
81,UK lockdown,2020-02-06,R,3.241033448171473
82,UK lockdown,2020-02-06,All exposed,11.708964577491178
83,UK lockdown,2020-02-06,Daily exposed,2.8066020093059088
84,UK lockdown,2020-02-06,Daily cases,0.00878277159656914
85,UK lockdown,2020-02-06,Daily recoveries,2.3268088554535054e-05
86,UK lockdown,2020-02-06,Daily deaths,1.922754360471697e-05
87,UK lockdown,2020-02-06,All cases,0.017320145240600594
88,UK lockdown,2020-02-06,All recoveries,2.7619607751922814e-05
89,UK lockdown,2020-02-06,All deaths,2.603820216584234e-05
90,UK lockdown,2020-02-06,Active cases,0.01726648743068283
91,UK lockdown,2020-02-07,S,66399985.644615695
92,UK lockdown,2020-02-07,E,8.64715523973627
93,UK lockdown,2020-02-07,I,2.363618377872984
94,UK lockdown,2020-02-07,R,4.344610690113112
95,UK lockdown,2020-02-07,All exposed,15.355384307722364
96,UK lockdown,2020-02-07,Daily exposed,3.6464197302311856
97,UK lockdown,2020-02-07,Daily cases,0.013679013494679327
98,UK lockdown,2020-02-07,Daily recoveries,9.206714433603745e-05
99,UK lockdown,2020-02-07,Daily deaths,5.168244117714288e-05
100,UK lockdown,2020-02-07,All cases,0.03099915873527992
101,UK lockdown,2020-02-07,All recoveries,0.00011968675208796026
102,UK lockdown,2020-02-07,All deaths,7.772064334298522e-05
103,UK lockdown,2020-02-07,Active cases,0.030801751339848974
104,UK lockdown,2020-02-08,S,66399980.90813605
105,UK lockdown,2020-02-08,E,11.241059306679972
106,UK lockdown,2020-02-08,I,3.072713487292509
107,UK lockdown,2020-02-08,R,5.77809116102039
108,UK lockdown,2020-02-08,All exposed,20.09186395499287
109,UK lockdown,2020-02-08,Daily exposed,4.736479647270507
110,UK lockdown,2020-02-08,Daily cases,0.019927609403957505
111,UK lockdown,2020-02-08,Daily recoveries,0.000275321970146164
112,UK lockdown,2020-02-08,Daily deaths,0.00011645323517719372
113,UK lockdown,2020-02-08,All cases,0.050926768139237424
114,UK lockdown,2020-02-08,All recoveries,0.00039500872223412426
115,UK lockdown,2020-02-08,All deaths,0.00019417387852017893
116,UK lockdown,2020-02-08,Active cases,0.05033758553848312
117,UK lockdown,2020-02-09,S,66399974.74831284
118,UK lockdown,2020-02-09,E,14.615127031727862
119,UK lockdown,2020-02-09,I,3.9942179482115105
120,UK lockdown,2020-02-09,R,7.6423421839262975
121,UK lockdown,2020-02-09,All exposed,26.251687163865668
122,UK lockdown,2020-02-09,Daily exposed,6.1598232088727976
123,UK lockdown,2020-02-09,Daily cases,0.02781774738888443
124,UK lockdown,2020-02-09,Daily recoveries,0.000670037669570425
125,UK lockdown,2020-02-09,Daily deaths,0.0002305006918688141
126,UK lockdown,2020-02-09,All cases,0.07874451552812185
127,UK lockdown,2020-02-09,All recoveries,0.0010650463918045494
128,UK lockdown,2020-02-09,All deaths,0.00042467457038899303
129,UK lockdown,2020-02-09,Active cases,0.0772547945659283
130,UK lockdown,2020-02-10,S,66399966.7413487
131,UK lockdown,2020-02-10,E,19.001799999941397
132,UK lockdown,2020-02-10,I,5.191226475343244
133,UK lockdown,2020-02-10,R,10.065624831626359
134,UK lockdown,2020-02-10,All exposed,34.258651306911
135,UK lockdown,2020-02-10,Daily exposed,8.00696414304533
136,UK lockdown,2020-02-10,Daily cases,0.03778623049303208
137,UK lockdown,2020-02-10,Daily recoveries,0.0013963682756791553
138,UK lockdown,2020-02-10,Daily deaths,0.000413749791194439
139,UK lockdown,2020-02-10,All cases,0.11653074602115393
140,UK lockdown,2020-02-10,All recoveries,0.002461414667483705
141,UK lockdown,2020-02-10,All deaths,0.000838424361583432
142,UK lockdown,2020-02-10,Active cases,0.1132309069920868
143,UK lockdown,2020-02-11,S,66399956.34041239
144,UK lockdown,2020-02-11,E,24.697137136532252
145,UK lockdown,2020-02-11,I,6.74901440319414
146,UK lockdown,2020-02-11,R,13.213436070771436
147,UK lockdown,2020-02-11,All exposed,44.65958761049783
148,UK lockdown,2020-02-11,Daily exposed,10.400936303586832
149,UK lockdown,2020-02-11,Daily cases,0.05044642335711157
150,UK lockdown,2020-02-11,Daily recoveries,0.0025851814633735277
151,UK lockdown,2020-02-11,Daily deaths,0.0006889972006520401
152,UK lockdown,2020-02-11,All cases,0.1669771693782655
153,UK lockdown,2020-02-11,All recoveries,0.005046596130857233
154,UK lockdown,2020-02-11,All deaths,0.001527421562235472
155,UK lockdown,2020-02-11,Active cases,0.1604031516851728
156,UK lockdown,2020-02-12,S,66399942.81099602
157,UK lockdown,2020-02-12,E,32.104648608818636
158,UK lockdown,2020-02-12,I,8.776282484096125
159,UK lockdown,2020-02-12,R,17.30807289234143
160,UK lockdown,2020-02-12,All exposed,58.18900398525619
161,UK lockdown,2020-02-12,Daily exposed,13.529416374758362
162,UK lockdown,2020-02-12,Daily cases,0.06662379505369787
