Date,confirmed,deaths,recovered,active_cases,phase
2020-01-22,0,0,0,0,isolated
2020-01-23,0,0,0,0,isolated
2020-01-24,0,0,0,0,isolated
2020-01-25,0,0,0,0,isolated
2020-01-26,0,0,0,0,isolated
2020-01-27,0,0,0,0,isolated
2020-01-28,0,0,0,0,isolated
2020-01-29,0,0,0,0,isolated
2020-01-30,0,0,0,0,isolated
2020-01-31,2,0,0,2,isolated
2020-02-01,2,0,0,2,isolated
2020-02-02,2,0,0,2,isolated
2020-02-03,2,0,0,2,isolated
2020-02-04,2,0,0,2,isolated
2020-02-05,2,0,0,2,isolated
2020-02-06,2,0,0,2,isolated
2020-02-07,3,0,0,3,isolated
2020-02-08,3,0,0,3,isolated
2020-02-09,3,0,0,3,isolated
2020-02-10,8,0,0,8,isolated
2020-02-11,8,0,0,8,isolated
2020-02-12,9,0,1,8,isolated
2020-02-13,9,0,1,8,isolated
2020-02-14,9,0,1,8,isolated
2020-02-15,9,0,1,8,isolated
2020-02-16,9,0,8,1,isolated
2020-02-17,9,0,8,1,isolated
2020-02-18,9,0,8,1,isolated
2020-02-19,9,0,8,1,isolated
2020-02-20,9,0,8,1,isolated
2020-02-21,9,0,8,1,isolated
2020-02-22,9,0,8,1,isolated
2020-02-23,9,0,8,1,isolated
2020-02-24,13,0,8,5,isolated
2020-02-25,13,0,8,5,isolated
2020-02-26,13,0,8,5,isolated
2020-02-27,15,0,8,7,isolated
2020-02-28,20,0,8,12,isolated
2020-02-29,23,0,8,15,isolated
2020-03-01,36,0,8,28,unrestricted
2020-03-02,40,0,8,32,unrestricted
2020-03-03,51,0,8,43,unrestricted
2020-03-04,85,0,8,77,unrestricted
2020-03-05,115,1,8,106,unrestricted
2020-03-06,163,2,8,153,unrestricted
2020-03-07,206,2,18,186,unrestricted
2020-03-08,273,3,18,252,unrestricted
2020-03-09,321,4,18,299,unrestricted
2020-03-10,382,6,18,358,unrestricted
2020-03-11,456,8,18,430,unrestricted
2020-03-12,456,8,18,430,unrestricted
2020-03-13,798,8,18,772,unrestricted
2020-03-14,1140,21,18,1101,unrestricted
2020-03-15,1140,21,18,1101,unrestricted
2020-03-16,1543,55,20,1468,unrestricted
2020-03-17,1950,55,52,1843,suppressed
2020-03-18,2626,71,65,2490,suppressed
2020-03-19,2689,137,65,2487,suppressed
2020-03-20,3983,177,65,3741,suppressed
2020-03-21,5018,233,65,4720,suppressed
2020-03-22,5683,281,65,5337,suppressed
2020-03-23,6650,335,65,6250,suppressed
2020-03-24,8077,422,135,7520,suppressed
2020-03-25,9529,465,135,8929,suppressed
2020-03-26,11658,578,135,10945,suppressed
2020-03-27,14543,759,135,13649,suppressed
2020-03-28,17089,1019,135,15935,suppressed
2020-03-29,19522,1228,135,18159,suppressed
2020-03-30,22141,1408,135,20598,suppressed
